NAME,GLOTTOCODE,DETAILS
"ALBANIAN",alba1267,
"Afghan",nort2646,
"Afrikaans",afri1274,
"Albanian C",arbe1236,
"Albanian G",gheg1238,
"Albanian K",arva1236,
"Albanian T",tosk1239,
"Albanian Top",tosk1239,"Ogrén/Përmét"
"Armenian List",nucl1235,"Adapazar Dialect"
"Armenian Mod",east2283,
"BULGARIAN P",bulg1262,
"BYELORUSSIAN P",bela1254,
"Baluchi",east2304,
"Bengali",beng1280,
"Brazilian",braz1246,
"Breton List",bret1244,
"Breton SE",vann1244,
"Breton ST",bret1244,
"Bulgarian",bulg1262,
"Byelorussian",bela1254,
"CZECH P",czec1258,
"Catalan",stan1289,
"Czech",czec1258,
"Czech E",czec1258,Trnovec
"Danish",dani1285,
"Dutch List",dutc1256,
"English ST",stan1293,
"Faroese",faro1244,
"Flemish",vlaa1240,
"French",stan1290,
"French Creole C",sain1246,Dominican French
"French Creole D",sain1246,Dominica
"Frisian",east2288,
"German ST",stan1295,
"Greek D",dimo1238,
"Greek K",kath1248,
"Greek MD",mode1248,
"Greek ML",aeol1234,Modern Standard Lesbian Greek
"Greek Mod",mode1248,
"Gujarati",guja1252,
"Gypsy Gk",gree1277,Greek Gypsy
"Hindi",hind1269,
"Icelandic ST",icel1247,
"Irish A",iris1253,'Miles Dillon'
"Irish B",iris1253,'T. O. Lane'
"Italian",ital1282,
"Kashmiri",kash1277,
"Khaskura",nepa1254,
"Ladin",ladi1250,
"Lahnda",west2386,
"Latvian",latv1249,
"Lithuanian O",lith1251,Vitalia Onopiak
"Lithuanian ST",lith1251,Alfred Senn
"Lusatian L",lowe1385,
"Lusatian U",uppe1395,
"MACEDONIAN P",mace1250,
"Macedonian",mace1250,
"Marathi",mara1378,
"Nepali List",nepa1254,
"Ossetic",osse1245,
"POLISH P",poli1260,
"Panjabi ST",panj1256,
"Penn. Dutch",penn1240,
"Persian List",west2369,
"Polish",poli1260,
"Portuguese ST",port1283,
"Provencal",occi1239,
"RUSSIAN P",russ1263,
"Riksmal",norw1258,
"Rumanian List",roma1327,
"Russian",russ1263,
"SERBOCROATIAN P",,
"SLOVAK P",slov1269,
"SLOVENIAN P",slov1268,
"Sardinian C",camp1261,
"Sardinian L",logu1236,
"Sardinian N",nuor1238,
"Serbocroatian",serb1264,
"Singhalese",sinh1246,
"Slovak",slov1269,
"Slovenian",slov1268,
"Spanish",stan1288,
"Swedish List",swed1254,
"Swedish Up",svea1239,Uppland Dialect
"Swedish VL",nort2638,Vilhelmina
"Tadzik",taji1245,
"Takitaki",sran1240,
"UKRAINIAN P",ukra1253,
"Ukrainian",ukra1253,
"Vlach",arom1237,
"Wakhi",wakh1245,
"Walloon",wall1255,
"Waziri",waci1238,
"Welsh C",sout2673,Carmathen Dialect
"Welsh N",nort2668,Bangor
